序号	名称        	上映时间	豆瓣评分	豆瓣链接                        	
1	肖申克的救赎    	1994	9.6	https://movie.douban.com/subject/1292052/	
2	霸王别姬      	1993	9.5	https://movie.douban.com/subject/1291546/	
3	这个杀手不太冷   	1994	9.4	https://movie.douban.com/subject/1295644/	
4	阿甘正传      	1994	9.4	https://movie.douban.com/subject/1292720/	
5	美丽人生      	1997	9.5	https://movie.douban.com/subject/1292063/	
6	千与千寻      	2001	9.2	https://movie.douban.com/subject/1291561/	
7	辛德勒的名单    	1993	9.4	https://movie.douban.com/subject/1295124/	
8	泰坦尼克号     	1997	9.2	https://movie.douban.com/subject/1292722/	
9	盗梦空间      	2010	9.2	https://movie.douban.com/subject/3541415/	
10	机器人总动员    	2008	9.3	https://movie.douban.com/subject/2131459/	
11	海上钢琴师     	1998	9.2	https://movie.douban.com/subject/1292001/	
12	三傻大闹宝莱坞   	2009	9.1	https://movie.douban.com/subject/3793023/	
13	忠犬八公的故事   	2009	9.2	https://movie.douban.com/subject/3011091/	
14	放牛班的春天    	2004	9.2	https://movie.douban.com/subject/1291549/	
15	大话西游之大圣娶亲 	1995	9.2	https://movie.douban.com/subject/1292213/	
16	龙猫        	1988	9.1	https://movie.douban.com/subject/1291560/	
17	教父        	1972	9.2	https://movie.douban.com/subject/1291841/	
18	楚门的世界     	1998	9.1	https://movie.douban.com/subject/1292064/	
19	乱世佳人      	1939	9.2	https://movie.douban.com/subject/1300267/	
20	天堂电影院     	1988	9.1	https://movie.douban.com/subject/1291828/	
21	触不可及      	2011	9.1	https://movie.douban.com/subject/6786002/	
22	当幸福来敲门    	2006	8.9	https://movie.douban.com/subject/1849031/	
23	搏击俱乐部     	1999	9.0	https://movie.douban.com/subject/1292000/	
24	熔炉        	2011	9.2	https://movie.douban.com/subject/5912992/	
25	无间道       	2002	9.0	https://movie.douban.com/subject/1307914/	
26	十二怒汉      	1957	9.4	https://movie.douban.com/subject/1293182/	
27	怦然心动      	2010	8.9	https://movie.douban.com/subject/3319755/	
28	指环王3：王者无敌 	2003	9.1	https://movie.douban.com/subject/1291552/	
29	星际穿越      	2014	9.1	https://movie.douban.com/subject/1889243/	
30	少年派的奇幻漂流  	2012	9.0	https://movie.douban.com/subject/1929463/	
31	天空之城      	1986	9.0	https://movie.douban.com/subject/1291583/	
32	罗马假日      	1953	8.9	https://movie.douban.com/subject/1293839/	
33	鬼子来了      	2000	9.2	https://movie.douban.com/subject/1291858/	
34	蝙蝠侠：黑暗骑士  	2008	9.0	https://movie.douban.com/subject/1851857/	
35	大话西游之月光宝盒 	1995	8.9	https://movie.douban.com/subject/1299398/	
36	活着        	1994	9.1	https://movie.douban.com/subject/1292365/	
37	两杆大烟枪     	1998	9.0	https://movie.douban.com/subject/1293350/	
38	飞屋环游记     	2009	8.9	https://movie.douban.com/subject/2129039/	
39	窃听风暴      	2006	9.1	https://movie.douban.com/subject/1900841/	
40	飞越疯人院     	1975	9.0	https://movie.douban.com/subject/1292224/	
41	海豚湾       	2009	9.3	https://movie.douban.com/subject/3442220/	
42	闻香识女人     	1992	8.9	https://movie.douban.com/subject/1298624/	
43	V字仇杀队     	2005	8.8	https://movie.douban.com/subject/1309046/	
44	哈尔的移动城堡   	2004	8.9	https://movie.douban.com/subject/1308807/	
45	教父2       	1974	9.1	https://movie.douban.com/subject/1299131/	
46	美丽心灵      	2001	8.9	https://movie.douban.com/subject/1306029/	
47	指环王2：双塔奇兵 	2002	8.9	https://movie.douban.com/subject/1291572/	
48	指环王1：魔戒再现 	2001	8.9	https://movie.douban.com/subject/1291571/	
49	死亡诗社      	1989	8.9	https://movie.douban.com/subject/1291548/	
50	情书        	1995	8.8	https://movie.douban.com/subject/1292220/	
51	天使爱美丽     	2001	8.7	https://movie.douban.com/subject/1292215/	
52	控方证人      	1957	9.6	https://movie.douban.com/subject/1296141/	
53	美国往事      	1984	9.1	https://movie.douban.com/subject/1292262/	
54	钢琴家       	2002	9.0	https://movie.douban.com/subject/1296736/	
55	七宗罪       	1995	8.7	https://movie.douban.com/subject/1292223/	
56	辩护人       	2013	9.1	https://movie.douban.com/subject/21937445/	
57	狮子王       	1994	8.9	https://movie.douban.com/subject/1301753/	
58	饮食男女      	1994	9.0	https://movie.douban.com/subject/1291818/	
59	被嫌弃的松子的一生 	2006	8.9	https://movie.douban.com/subject/1787291/	
60	致命魔术      	2006	8.8	https://movie.douban.com/subject/1780330/	
61	勇敢的心      	1995	8.8	https://movie.douban.com/subject/1294639/	
62	小鞋子       	1997	9.2	https://movie.douban.com/subject/1303021/	
63	剪刀手爱德华    	1990	8.7	https://movie.douban.com/subject/1292370/	
64	音乐之声      	1965	8.9	https://movie.douban.com/subject/1294408/	
65	低俗小说      	1994	8.7	https://movie.douban.com/subject/1291832/	
66	入殓师       	2008	8.8	https://movie.douban.com/subject/2149806/	
67	本杰明·巴顿奇事  	2008	8.7	https://movie.douban.com/subject/1485260/	
68	沉默的羔羊     	1991	8.7	https://movie.douban.com/subject/1293544/	
69	黑客帝国      	1999	8.8	https://movie.douban.com/subject/1291843/	
70	素媛        	2013	9.1	https://movie.douban.com/subject/21937452/	
71	拯救大兵瑞恩    	1998	8.8	https://movie.douban.com/subject/1292849/	
72	蝴蝶效应      	2004	8.7	https://movie.douban.com/subject/1292343/	
73	疯狂动物城     	2016	9.2	https://movie.douban.com/subject/25662329/	
74	西西里的美丽传说  	2000	8.7	https://movie.douban.com/subject/1292402/	
